"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"332",14,"Greg Dulcich",NYG,"TE51","209","312","264.0","38.1","-"
"333",14,"Woody Marks",FA,"RB107","231","324","267.4","31.3","-"
"334",14,"Devontez Walker",BAL,"WR135","246","339","279.8","29.4","-"
"335",14,"Joe Milton III",DAL,"QB42","148","184","166.0","18.0","-"
"336",14,"Gerald Everett",FA,"TE52","186","394","267.3","83.2","-"
"337",14,"Luke Lachey",FA,"TE53","248","305","271.2","21.4","-"
"338",14,"Emari Demercado",ARI,"RB108","177","318","271.6","50.8","-"
"339",14,"Tyler Shough",FA,"QB43","145","211","178.0","33.0","-"
"340",14,"Ameer Abdullah",FA,"RB109","261","319","275.8","21.9","-"
"341",14,"Rasheen Ali",BAL,"RB110","265","314","277.2","18.6","-"
"342",14,"D'Onta Foreman",FA,"RB111","240","324","278.6","28.8","-"
"343",14,"Greg Dortch",ARI,"WR136","254","325","288.3","24.5","-"
"344",14,"Dont'e Thornton Jr.",FA,"WR137","220","270","240.7","21.3","-"
"345",14,"KaVontae Turpin",DAL,"WR138","241","333","279.6","37.5","-"
"346",14,"Foster Moreau",NO,"TE54","259","335","296.1","24.1","-"
"347",14,"Darnell Washington",PIT,"TE55","238","367","297.5","38.0","-"
"348",14,"Jeremy Ruckert",NYJ,"TE56","257","366","298.8","37.3","-"
"349",14,"Zay Jones",ARI,"WR139","216","315","286.8","35.9","-"
"350",14,"Kendrick Bourne",NE,"WR140","270","335","295.7","20.1","-"
"351",14,"Isaac TeSlaa",FA,"WR141","227","299","255.7","31.2","-"
"352",14,"Austin Hooper",NE,"TE57","258","330","288.4","23.5","-"
"353",14,"Mason Rudolph",PIT,"QB44","160","275","217.5","57.5","-"
"354",14,"Mack Hollins",NE,"WR142","233","283","258.0","20.4","-"
"355",14,"Jelani Woods",IND,"TE58","275","307","289.8","11.1","-"
"356",14,"Jaydn Ott",FA,"RB112","262","323","278.8","25.6","-"
"357",14,"Ja'Quinden Jackson",FA,"RB113","242","272","261.7","13.9","-"
"358",14,"Marquez Valdes-Scantling",SEA,"WR143","206","299","263.3","40.9","-"
"359",15,"Jake Bobo",SEA,"WR144","180","336","285.5","62.4","-"
"360",15,"Clyde Edwards-Helaire",NO,"RB114","270","321","296.2","20.8","-"
"361",15,"Pierre Strong Jr.",CLE,"RB115","244","340","287.3","36.2","-"
"362",15,"Benjamin Yurosek",FA,"TE59","263","290","272.0","12.7","-"
"363",15,"Hayden Hurst",FA,"TE60","244","321","288.8","28.8","-"
"364",15,"Tyler Boyd",FA,"WR145","234","316","274.0","33.5","-"
"365",15,"K.J. Osborn",WAS,"WR146","255","317","276.3","28.8","-"
"366",15,"Carson Steele",KC,"RB116","271","316","291.8","18.1","-"
"367",15,"Mac Jones",SF,"QB45","157","157","157.0","0.0","-"
"368",15,"Jalin Conyers",FA,"TE61","264","301","277.0","17.0","-"
"369",15,"Jamaal Williams",FA,"RB117","268","291","278.0","9.6","-"
"370",15,"Israel Abanikanda",SF,"RB118","255","322","292.8","29.1","-"
"371",15,"Kalel Mullings",FA,"RB119","231","270","250.5","19.5","-"
"372",15,"Colby Parkinson",LAR,"TE62","276","313","302.4","14.0","-"
"373",15,"Sam Howell",SEA,"QB46","169","169","169.0","0.0","-"
"374",15,"Spencer Rattler",NO,"QB47","221","285","253.0","32.0","-"
"375",15,"Jimmy Garoppolo",LAR,"QB48","170","170","170.0","0.0","-"
"376",15,"Trey Sermon",FA,"RB120","256","311","281.3","22.7","-"
"377",15,"Deshaun Watson",CLE,"QB49","171","171","171.0","0.0","-"
"378",15,"Ezekiel Elliott",FA,"RB121","264","316","283.0","23.4","-"
"379",15,"Jared Wiley",KC,"TE63","280","391","315.8","40.1","-"
"380",15,"A.T. Perry",DEN,"WR147","237","337","284.3","41.0","-"
"381",15,"Rondale Moore",MIN,"WR148","252","331","298.5","33.6","-"
"382",15,"JuJu Smith-Schuster",KC,"WR149","285","332","299.0","19.4","-"
"383",15,"Tommy Tremble",CAR,"TE64","272","314","286.7","19.3","-"
"384",15,"Deion Burks",FA,"WR150","243","281","262.0","19.0","-"
"385",15,"Jake Briningstool",FA,"TE65","260","320","289.0","24.5","-"
"386",15,"Jeremy McNichols",WAS,"RB122","263","268","265.5","2.5","-"
"387",15,"Eric Gray",NYG,"RB123","266","350","295.3","38.7","-"
"388",15,"Davis Allen",LAR,"TE66","240","353","297.7","46.2","-"
"389",15,"Daniel Bellinger",NYG,"TE67","266","326","303.5","24.9","-"
"390",15,"Elijhah Badger",FA,"WR151","207","207","207.0","0.0","-"
"391",15,"Jeff Wilson Jr.",FA,"RB124","272","315","294.0","17.6","-"
